date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-04-01,17.29,17.35,17.03,16.96,157779.81,-0.26,-1.5,17.032,16.847,17.069,187976.8,245664.07,284103.58
2020-03-31,17.1,17.37,17.29,17.07,149253.55,0.19,1.11,17.032,16.816,17.097,207449.1,269843.98,288238.15
2020-03-30,16.86,17.11,17.1,16.79,211551.05,0.19,1.12,16.956,16.78,17.111,257185.46,290573.64,292480.45
2020-03-27,16.9,16.97,16.91,16.78,192585.33,0.08,0.47,16.84,16.762,17.119,261173.51,301725.17,296424.23
2020-03-26,16.89,17.01,16.83,16.73,228714.27,-0.2,-1.17,16.756,16.771,17.125,274084.51,328817.15,300496.1
2020-03-25,17.1,17.14,17.03,16.84,255141.28,0.12,0.71,16.662,16.833,17.145,303351.34,330323.52,298332.97
2020-03-24,16.64,16.99,16.91,16.6,397935.38,0.39,2.36,16.6,16.889,17.143,332238.86,322473.63,301596.06
2020-03-23,16.17,16.65,16.52,16.06,231491.27,0.03,0.18,16.604,16.962,17.157,323961.82,324859.02,291304.57
2020-03-20,16.52,16.71,16.49,16.3,257140.34,0.13,0.8,16.684,17.055,17.201,342276.84,338590.86,288316.77
2020-03-19,16.65,16.78,16.36,16.19,375048.44,-0.36,-2.15,16.786,17.154,17.253,383549.79,333254.88,284561.93
2020-03-18,16.88,16.99,16.72,16.7,399578.88,-0.21,-1.24,17.004,17.29,17.316,357295.7,322543.08,273068.3
2020-03-17,16.86,17.25,16.93,16.86,356550.16,0.01,0.06,17.178,17.377,17.356,312708.39,306632.32,260036.5
2020-03-16,17.07,17.14,16.92,16.88,323066.38,-0.08,-0.47,17.32,17.441,17.386,325756.21,294387.26,248508.36
2020-03-13,17.06,17.3,17.0,16.96,463505.09,-0.45,-2.58,17.426,17.475,17.424,334904.87,291123.28,239602.45
2020-03-12,17.51,17.59,17.45,17.31,243778.0,-0.14,-0.8,17.522,17.478,17.455,282959.96,272175.05,221355.98
