trade_date,open,close,low,high,vol,,,change,pct_chg,,amount,,,,pre_close
20080701,22.2,20.13,19.99,22.38,387371.15,,,0.07,0.74,,180858.003,,,,9.44
20080702,20.15,20.2,19.4,20.27,262192.58,,,0.03,0.32,,129512.091,,,,9.41
20080703,19.7,20.42,19.51,21.13,262910.89,,,-0.08,-0.84,,135697.106,,,,9.49
20080704,21.29,20.95,20.6,21.4,378658.53,,,0.02,0.21,,142708.347,,,,9.47
20080707,21.19,22.41,21.01,22.65,417063.85,,,0.19,2.03,,188206.858,,,,9.38
20080708,22.55,22.39,21.83,23.09,352263.21,,,-0.19,-1.99,,142450.919,,,,9.57
20080709,22.75,23.44,22.75,24.16,582633.6,,,-0.03,-0.31,,118668.133,,,,9.6
20080710,22.89,23.69,22.8,24.36,537653.17,,,0.23,2.45,,212109.327,,,,9.37
20080711,23.53,23.29,22.7,23.78,409432.49,,,0.11,1.19,,210564.106,,,,9.26
20080714,22.9,23.5,22.85,23.9,184104.58,,,-0.05,-0.54,,152978.661,,,,9.31
20080715,23.61,21.83,21.8,23.65,414415.89,,,-0.04,-0.43,,135000.876,,,,9.35
20080716,21.3,20.81,20.45,21.57,284804.49,,,0.06,0.65,,224816.757,,,,9.29
20080717,21.36,20.42,20.01,21.6,320048.81,,,-0.27,-2.82,,212743.905,,,,9.56
20080718,20.8,21.3,20.12,21.47,336102.33,,,0.06,0.63,,185831.802,,,,9.5
20080721,21.01,22.13,20.82,22.29,318405.83,,,0.13,1.39,,290768.015,,,,9.37
20080722,22,22.01,21.8,22.34,189682.72,,,-0.11,-1.16,,234831.869,,,,9.48
20080723,22.36,21.9,21.88,22.68,251902.58,,,-0.08,-0.84,,231698.549,,,,9.56
20080724,22.24,23.69,22.15,23.76,509211.71,,,-0.2,-2.05,,234851.67,,,,9.76
20080725,23.19,23.91,23.01,24.24,558695.05,,,-0.07,-0.71,,243586.307,,,,9.83
20080728,24.2,24.05,23.76,25.1,410422.19,,,-0.06,-0.61,,234236.776,,,,9.89
20080729,23.5,23.55,23.01,23.8,242525.86,,,-0.03,-0.3,,187504.468,,,,9.92
20080730,24.15,23.44,23.09,24.25,225182.69,,,-0.38,-3.69,,432159.776,,,,10.3
20080731,23.53,22.71,22.54,23.54,237357.14,,,0.08,0.78,,204800.278,,,,10.22
20080801,22.45,23.88,22.35,24.2,317555.18,,,0.01,0.1,,179339.35,,,,10.21
20080804,23.3,23.29,23.18,24.24,243368.59,,,-0.14,-1.35,,204624.613,,,,10.35
20080805,23.9,23.25,23.1,24.03,312303.6,,,-0.07,-0.67,,166400.389,,,,10.42
20080806,23.5,23.7,23.27,23.97,222423.63,,,0,0,,186272.758,,,,10.42
20080807,23.65,23.16,22.8,23.95,222475.57,,,-0.2,-1.88,,283822.904,,,,10.62
20080808,23.1,21.67,21.59,23.21,247861.39,,,0.07,0.66,,247771.033,,,,10.55
20080811,21.64,21.91,21.41,23.3,434407.07,,,-0.11,-1.03,,158227.437,,,,10.66
20080812,21.6,21.54,21,22,173777.05,,,-0.09,-0.84,,199025.891,,,,10.75
20080813,21.38,21.27,20.53,21.49,205573.55,,,0.07,0.66,,174154.21,,,,10.68
20080814,21.29,21.11,20.61,21.43,218217.27,,,0.13,1.23,,195167.69,,,,10.55
20080815,21.11,21.26,20.66,21.75,195891.17,,,0.11,1.05,,480871.723,,,,10.44
20080818,21.26,20.12,20.1,21.34,172972.68,,,-0.2,-1.88,,338274.421,,,,10.64
20080819,19.9,20.53,19.82,20.9,169024.75,,,-0.12,-1.12,,180559.166,,,,10.76
20080820,20.28,22.58,20,22.58,477982.96,,,0.05,0.47,,196979.804,,,,10.71
20080821,22.19,21.92,21.65,22.66,295406.98,,,-0.08,-0.74,,204634.79,,,,10.79
20080822,21.8,21.23,20.88,21.91,227929.52,,,-0.01,-0.09,,164430.466,,,,10.8
20080825,21.3,21.25,20.98,21.88,143767.23,,,-0.08,-0.74,,229712.309,,,,10.88
20080826,20.8,20.75,20.55,21.56,169777.63,,,-0.06,-0.55,,174138.743,,,,10.94
20080827,20.68,20.99,20.56,21.32,171533.42,,,0.04,0.37,,255891.648,,,,10.9
20080828,21.05,21.32,20.9,21.7,171994.55,,,0.07,0.65,,235717.339,,,,10.83
20080829,21.58,21.97,21.25,22.05,244062.98,,,-0.04,-0.37,,200668.98,,,,10.87
20080901,21.65,20.69,20.58,21.82,266361.6,,,-0.12,-1.09,,257351.42,,,,10.99
20080902,20.5,20.07,19.9,20.78,262089.02,,,-0.01,-0.09,,258018.71,,,,11
20080903,20.07,19.19,18.95,20.19,310174.87,,,0.05,0.46,,261553.535,,,,10.95
20080904,19.15,18.94,18.27,19.15,476702.59,,,0,0,,241676.135,,,,10.95
20080905,18.2,17.99,17.9,18.49,347504.76,,,0.02,0.18,,175546.224,,,,10.93
