name,group,year,value,,,
意大利,europe,43861,2,,,
意大利,europe,43862,2,,,
意大利,europe,43863,2,,,
意大利,europe,43864,2,,,
意大利,europe,43865,2,,,
意大利,europe,43866,2,,,
意大利,europe,43867,2,,,
意大利,europe,43868,3,,,
意大利,europe,43869,3,,,
意大利,europe,43870,3,,,
意大利,europe,43871,3,,,
意大利,europe,43872,3,,,
意大利,europe,43873,3,,,
意大利,europe,43874,3,,,
意大利,europe,43875,3,,,
意大利,europe,43876,3,,,
意大利,europe,43877,3,,,
意大利,europe,43878,3,,,
意大利,europe,43879,3,,,
意大利,europe,43880,3,,,
意大利,europe,43881,3,,,
意大利,europe,43882,6,,,
意大利,europe,43883,20,,,
意大利,europe,43884,132,,,
意大利,europe,43885,230,,,
意大利,europe,43886,283,,,
意大利,europe,43887,374,,,
意大利,europe,43888,528,,,
意大利,europe,43889,655,,,
意大利,europe,43890,888,,,
意大利,europe,43891,1128,,,
意大利,europe,43892,1713,,,
意大利,europe,43893,2086,,,
意大利,europe,43894,2546,,,
意大利,europe,43895,3089,,,
意大利,europe,43896,3927,,,
意大利,europe,43897,4680,,,
意大利,europe,43898,6012,,,
意大利,europe,43899,7424,,,
意大利,europe,43900,9220,,,
意大利,europe,43901,10283,,,
意大利,europe,43902,12462,,,
意大利,europe,43903,15385,,,
意大利,europe,43904,17660,,,
意大利,europe,43905,21270,,,
意大利,europe,43906,24747,,,
意大利,europe,43907,27980,,,
意大利,europe,43908,31506,,,
意大利,europe,43909,36455,,,
意大利,europe,43910,41035,,,
意大利,europe,43911,47021,,,
意大利,europe,43912,53578,,,
意大利,europe,43913,59138,,,
意大利,europe,43914,63927,,,
意大利,europe,43915,69176,,,
伊朗,me,43880,2,,,
伊朗,me,43881,5,,,
伊朗,me,43882,18,,,
伊朗,me,43883,28,,,
伊朗,me,43884,43,,,
伊朗,me,43885,61,,,
伊朗,me,43886,95,,,
伊朗,me,43887,139,,,
伊朗,me,43888,245,,,
伊朗,me,43889,388,,,
伊朗,me,43890,593,,,
伊朗,me,43891,593,,,
伊朗,me,43892,1501,,,
伊朗,me,43893,2336,,,
伊朗,me,43894,2922,,,
伊朗,me,43895,3513,,,
伊朗,me,43896,4747,,,
伊朗,me,43897,5823,,,
伊朗,me,43898,6566,,,
伊朗,me,43899,7161,,,
伊朗,me,43900,8042,,,
伊朗,me,43901,9000,,,
伊朗,me,43902,10075,,,
伊朗,me,43903,11364,,,
伊朗,me,43904,12729,,,
伊朗,me,43905,13938,,,
伊朗,me,43906,14991,,,
伊朗,me,43907,16169,,,
伊朗,me,43908,17361,,,
伊朗,me,43909,18407,,,
伊朗,me,43910,19644,,,
伊朗,me,43911,20610,,,
伊朗,me,43912,21638,,,
伊朗,me,43913,23049,,,
伊朗,me,43914,24811,,,
伊朗,me,43915,27017,,,
韩国,asia,43858,4,,,
韩国,asia,43859,4,,,
韩国,asia,43860,6,,,
韩国,asia,43861,11,,,
韩国,asia,43862,12,,,
韩国,asia,43863,15,,,
韩国,asia,43864,15,,,
韩国,asia,43865,16,,,
韩国,asia,43866,19,,,
韩国,asia,43867,23,,,
韩国,asia,43868,24,,,
韩国,asia,43869,24,,,
韩国,asia,43870,27,,,
韩国,asia,43871,27,,,
韩国,asia,43872,28,,,
韩国,asia,43873,28,,,
韩国,asia,43874,28,,,
韩国,asia,43875,28,,,
韩国,asia,43876,28,,,
韩国,asia,43877,29,,,
韩国,asia,43878,30,,,
韩国,asia,43879,31,,,
韩国,asia,43880,51,,,
韩国,asia,43881,104,,,
韩国,asia,43882,208,,,
韩国,asia,43883,433,,,
韩国,asia,43884,602,,,
韩国,asia,43885,833,,,
韩国,asia,43886,977,,,
